Kernel name,start,end,duration
1053,27571598,27574606,3008
1019,27910418,28120820,210402
1020,28122356,30126025,2003669
1059,30127529,30133481,5952
1061,30134857,30345772,210915
1023,30347147,31524216,1177069
1020,31525944,32865639,1339695
1024,32867046,33020552,153506
1020,33022024,41951335,8929311
1064,41816518,41819526,3008
1064,41825926,41827942,2016
1064,41829414,41831334,1920
1064,41844326,41846982,2656
1067,41848998,41852326,3328
1064,41853798,41855751,1953
1064,41861703,41863654,1951
1064,41865191,41867111,1920
1064,41879975,41882535,2560
1067,41884135,41887559,3424
1064,41889191,41891143,1952
1064,41897799,41899751,1952
1064,41901191,41903143,1952
1064,41916679,41919239,2560
1067,41920871,41924135,3264
1064,41925735,41927687,1952
1064,41934759,41936679,1920
1064,41938119,41940007,1888
1064,41952423,41955495,3072
1025,41953063,42373836,420773
1067,42368140,42373324,5184
1026,42375180,46874556,4499376
1069,46425143,46428439,3296
1071,46441208,46445528,4320
1024,46876028,47028766,152738
1020,47030238,49034195,2003957
1059,49035891,49041779,5888
1061,49043219,49254453,211234
1023,49255798,50426114,1170316
1020,50427842,51767568,1339726
1024,51768912,51922578,153666
1020,51924274,60853554,8929280
1025,60854930,61276246,421316
1026,61277686,65777190,4499504
1024,65778790,65931208,152418
1020,65932808,67937214,2004406
1059,67938654,67944542,5888
1061,67946045,68156320,210275
1023,68157728,69330988,1173260
1020,69332364,70672411,1340047
1024,70674139,70827292,153153
1020,70828892,79756380,8927488
1025,79757724,80179424,421700
1026,80180800,84680784,4499984
1024,84682128,84834322,152194
1020,84835858,86840423,2004565
1059,86841895,86848040,6145
1061,86849576,87059562,209986
1023,87061098,88242134,1181036
1020,88243606,89583045,1339439
1024,89584709,89737734,153025
1020,89739334,98667814,8928480
1025,98669414,99093226,423812
1026,99094634,103594650,4500016
1024,103595995,103747676,151681
1020,103749116,105752562,2003446
1059,105755090,105760978,5888
1061,105762418,105972596,210178
1023,105974228,107154977,1180749
1020,107156481,108496335,1339854
1024,108497679,108651793,154114
1020,108653297,117583280,8929983
1025,117584752,118006293,421541
1026,118007957,122508197,4500240
1024,122509637,122661926,152289
1020,122663878,124667740,2003862
1059,124669180,124675164,5984
1061,124676508,124886942,210434
1023,124888414,126057707,1169293
1020,126059499,127398969,1339470
1024,127400665,127553979,153314
1020,127556219,136484698,8928479
1025,136486042,136907071,421029
1026,136908447,141408751,4500304
1024,141410415,141562512,152097
1020,141564017,143567750,2003733
1059,143569350,143575302,5952
1061,143576742,143786792,210050
1023,143788200,144975317,1187117
1020,144977077,146316771,1339694
1024,146318467,146471845,153378
1020,146473477,155402117,8928640
1025,155403780,155821385,417605
1026,155822665,160323417,4500752
1024,160324729,160477147,152418
